-0.034057,1.99
-0.032517,2.03
-0.030977,2.53
-0.029437,2.61
-0.027897,2.91
-0.026357,3.03
-0.024817,3.13
-0.023277,3.13
-0.021737,3.34
-0.020197,3.38
-0.018647,3.39
-0.017107,3.47
-0.015567,3.47
-0.014027,3.46
-0.012487,3.58
-0.010947,3.58
-0.0094066,3.55
-0.0078666,3.6
-0.0063266,3.65
-0.0047866,3.57
-0.0032466,3.8
-0.0017066,3.69
-0.00016664,3.54
0.0013734,3.69
0.0029234,3.7
0.0044634,3.61
0.0060034,3.63
0.0075434,3.62
0.0090834,3.65
0.010623,3.64
0.012163,3.63
0.013703,3.52
0.015243,3.46
0.016783,3.42
0.018323,3.44
0.019863,3.48
0.021403,3.33
0.022943,3.26
0.024493,3.16
0.026033,3.05
0.027573,2.91
0.029113,2.75
0.030653,2.41
0.032193,2.16
