-0.034057,2.0362
-0.032517,2.105
-0.030977,2.5948
-0.029437,2.7577
-0.027897,2.9122
-0.026357,2.9512
-0.024817,3.0931
-0.023277,3.1105
-0.021737,3.1822
-0.020197,3.3422
-0.018647,3.4732
-0.017107,3.4017
-0.015567,3.622
-0.014027,3.491
-0.012487,3.4048
-0.010947,3.6345
-0.0094066,3.5333
-0.0078666,3.6632
-0.0063266,3.5395
-0.0047866,3.6537
-0.0032466,3.8053
-0.0017066,3.686
-0.00016664,3.4866
0.0013734,3.7931
0.0029234,3.6026
0.0044634,3.5419
0.0060034,3.6327
0.0075434,3.8099
0.0090834,3.5896
0.010623,3.5329
0.012163,3.5736
0.013703,3.5992
0.015243,3.4858
0.016783,3.3161
0.018323,3.3623
0.019863,3.6917
0.021403,3.4057
0.022943,3.2916
0.024493,3.1237
0.026033,3.0815
0.027573,2.8594
0.029113,2.8329
0.030653,2.4187
0.032193,2.0366
