0.013886,79.901,1263.6,1552,79.901,1263.6,1552,1.9977,2.1186,2.5113,2.6998,2.792,3.1993,3.1596,3.1165,3.193,3.2554,3.3341,3.2326,3.4638,3.3533,3.6989,3.7645,3.4895,3.6208,3.6202,3.423,3.8612,3.5891,3.3092,3.7133,3.652,3.5722,3.4726,3.6431,3.6106,3.5869,3.5587,3.5798,3.618,3.247,3.4863,3.4596,3.3092,3.3405,3.1602,3.015,3.0217,2.725,2.3853,1
0.018375,593.14,1251.5,1828.9,593.14,1251.5,1828.9,2.0357,2.0116,2.35,2.5444,3.1325,3.0617,3.2541,3.1889,3.2032,3.4945,3.4614,3.3281,3.3816,3.3944,3.4611,3.5806,3.6488,3.6722,3.4532,3.5219,3.6112,3.8743,3.4883,3.7447,3.7293,3.709,3.7022,3.5221,3.6431,3.6564,3.4489,3.6752,3.3905,3.4888,3.5375,3.4932,3.3542,3.4023,3.2862,2.9638,2.8153,3.0122,2.3481,1
0.012407,598.39,1249,2097.1,598.39,1249,2097.1,2.1012,2.123,2.595,2.6515,3.0649,2.868,3.1858,2.9749,3.4005,3.4769,3.3846,3.6512,3.5581,3.4121,3.5719,3.4573,3.4066,3.6319,3.5976,3.6793,3.8686,3.5187,3.6565,3.5459,3.7231,3.7263,3.5417,3.6056,3.6402,3.5038,3.6283,3.4171,3.5313,3.365,3.4158,3.4707,3.3233,3.2369,3.0063,2.9758,2.8878,2.7521,2.579,1
0.015104,602.57,1253.2,1511.2,602.57,1253.2,1511.2,1.9565,2.1636,2.2107,2.5939,2.8544,3.1903,3.0616,3.2305,3.4169,3.4478,3.3457,3.5413,3.4375,3.3396,3.77,3.5609,3.5857,3.6816,3.708,3.5511,3.8131,3.5639,3.5464,3.6911,3.7263,3.6688,3.5918,3.8206,3.6066,3.5528,3.7591,3.2916,3.562,3.6044,3.3497,3.3767,3.2173,3.2439,2.9028,3.1415,3.0461,2.8272,2.3133,1
0.01344,533.51,1255.4,1564.2,533.51,1255.4,1564.2,2.0743,2.0353,2.5326,2.6203,3.1152,3.1878,2.9648,3.0777,3.3183,3.4785,3.4429,3.4362,3.4279,3.3814,3.5684,3.7459,3.6974,3.6163,3.7348,3.6605,3.7158,3.602,3.4272,3.7677,3.6667,3.6696,3.8078,3.7375,3.6055,3.4863,3.7178,3.5609,3.473,3.524,3.4665,3.5915,3.4174,3.1795,3.0361,2.9228,3.0387,2.7439,2.4505,1
0.014892,628.63,1250.9,1695.9,628.63,1250.9,1695.9,2.0149,2.0404,2.4523,2.8419,2.9429,3.0617,3.0964,3.1288,3.4004,3.4265,3.3224,3.4724,3.3117,3.3533,3.5485,3.6112,3.6381,3.8073,3.5836,3.3197,3.951,3.7754,3.6495,3.7769,3.8124,3.5682,3.5862,3.6066,3.5574,3.6243,3.7416,3.5129,3.5249,3.4133,3.3318,3.5773,3.282,3.1525,3.0548,3.102,2.804,2.8648,2.4087,1
0.014959,302.36,1258.9,1612.2,302.36,1258.9,1612.2,2.0876,2.1298,2.3568,2.4649,3.0454,3.1578,3.3633,3.1804,3.4394,3.3766,3.4194,3.5085,3.3201,3.5516,3.576,3.6066,3.6195,3.665,3.4284,3.4822,3.8207,3.7286,3.5556,3.5774,3.7082,3.519,3.7919,3.6887,3.6396,3.7215,3.6402,3.4859,3.3891,3.3114,3.3871,3.5597,3.1412,3.317,2.9274,3.0466,2.8723,2.8405,2.439,1
0.013512,532.39,1251.5,1901.2,532.39,1251.5,1901.2,2.0505,2.129,2.6322,2.5804,2.89,3.0443,3.1427,3.26,3.3009,3.4581,3.3517,3.2971,3.3424,3.3007,3.4892,3.6986,3.5331,3.5204,3.6079,3.4048,3.8724,3.6767,3.372,3.7681,3.8738,3.5321,3.6974,3.6904,3.6988,3.6244,3.7235,3.4471,3.4655,3.3774,3.45,3.5119,3.2981,3.1357,3.2136,3.0008,2.9172,2.7901,2.4247,1
0.01508,455.21,1254.6,1770.4,455.21,1254.6,1770.4,1.9349,1.9915,2.4222,2.5922,3.0271,3.1807,3.1207,3.1805,3.1962,3.4981,3.5015,3.281,3.4332,3.5411,3.4294,3.5468,3.4804,3.6615,3.6834,3.5075,3.7953,3.784,3.495,3.6308,3.7896,3.6307,3.5523,3.4887,3.6443,3.7064,3.6057,3.5628,3.6345,3.2847,3.3078,3.5985,3.3482,3.3222,3.2854,3.0877,2.8116,2.693,2.5064,1
0.011666,233.07,1261,1522.9,233.07,1261,1522.9,2.0362,2.105,2.5948,2.7577,2.9122,2.9512,3.0931,3.1105,3.1822,3.3422,3.4732,3.4017,3.622,3.491,3.4048,3.6345,3.5333,3.6632,3.5395,3.6537,3.8053,3.686,3.4866,3.7931,3.6026,3.5419,3.6327,3.8099,3.5896,3.5329,3.5736,3.5992,3.4858,3.3161,3.3623,3.6917,3.4057,3.2916,3.1237,3.0815,2.8594,2.8329,2.4187,1
