1087.5,0.020023,1,1.9411,2.0341,2.6413,2.541,2.7685,3.0219,3.0478,3.2966,3.4479,3.64,3.2957,3.5331,3.5171,3.4048,3.6774,3.5601,3.4572,3.6275,3.5641,3.4989,3.7852,3.688,3.467,3.5389,3.7349,3.7526,3.6597,3.5215,3.7397,3.611,3.7844,3.5526,3.3206,3.3647,3.5817,3.6038,3.2687,3.2834,3.1187,2.9087,2.7471,2.9419,2.4349,2.2246
1087.5,0.022685,1,1.8448,2.1604,2.6151,2.4519,2.6117,2.9661,3.0469,3.4145,3.3955,3.4924,3.3549,3.499,3.5193,3.4875,3.6704,3.6005,3.4363,3.7283,3.5265,3.2115,3.779,3.6584,3.6507,3.7137,3.6919,3.9229,3.7596,3.6121,3.7508,3.5729,3.7482,3.5956,3.3751,3.4031,3.6378,3.5127,3.153,3.2314,3.0384,2.9796,2.6652,2.9997,2.6047,2.1362
1175,0.030016,1,1.903,2.1553,2.5818,2.5463,2.6131,2.9579,3.1466,3.3986,3.3154,3.538,3.5005,3.5222,3.4813,3.268,3.8651,3.7687,3.5403,3.8404,3.4469,3.2355,3.779,3.7758,3.6176,3.7842,3.7182,4.0826,3.8329,3.7086,3.8367,3.5603,3.8743,3.7577,3.3209,3.4936,3.559,3.4079,3.1106,3.3044,3.1895,2.9803,2.6161,3.0572,2.5674,2.1302
1221.2,0.034289,1,1.9399,2.2564,2.6363,2.4674,2.7527,2.9759,3.2223,3.3576,3.2835,3.3827,3.4845,3.7437,3.5173,3.4979,3.9073,3.7704,3.4838,3.9099,3.4304,3.1068,3.8225,3.9799,3.638,3.7713,3.7942,3.8303,3.8032,3.5083,3.5739,3.6314,3.8755,3.7681,3.3018,3.5442,3.5934,3.5023,3.1456,3.2894,3.2703,3.0506,2.6253,3.1016,2.6802,2.1826
1316.9,0.040881,1,1.8754,2.2744,2.6685,2.6608,2.8007,3.1309,3.0601,3.3185,3.2595,3.462,3.4743,3.7021,3.6426,3.6261,3.8363,3.8388,3.4932,3.9578,3.3231,3.0561,3.7613,3.8799,3.7337,3.8087,3.9082,3.8429,3.9918,3.4664,3.6275,3.8091,3.6824,3.9709,3.3714,3.4069,3.7288,3.5452,3.1183,3.3126,3.3826,2.9546,2.6784,2.9949,2.9025,2.2465
1257.5,0.056718,1,1.8779,2.2757,2.6458,2.7323,2.8912,3.2228,3.2325,3.1951,3.2317,3.4734,3.3489,3.7693,3.6049,3.5399,3.9887,3.7643,3.2612,4.0021,3.3814,3.0013,3.6611,4.0273,3.5423,3.6702,3.6614,3.8593,3.9365,3.4829,3.6037,3.8146,3.5988,4.0903,3.3514,3.4743,3.6049,3.6201,3.0631,3.5056,3.2792,2.7994,2.5771,2.9269,2.9331,2.2767
1240,0.064797,1,1.9547,2.1677,2.6028,2.7819,2.9278,3.211,3.3429,3.0654,3.0804,3.5777,3.1965,3.6421,3.6632,3.5684,3.9796,3.9157,3.2083,4.0378,3.74,2.8735,3.7156,4.0959,3.4504,3.7076,3.5917,3.9052,3.9735,3.3863,3.7741,3.6553,3.6098,4.0126,3.4594,3.5214,3.593,3.67,3.0154,3.4092,3.3386,2.7483,2.5812,2.9592,2.7943,2.4182
1277.5,0.088584,1,1.8823,2.0231,2.6269,2.7217,3.0307,3.3623,3.305,3.1811,3.0831,3.4431,3.1689,3.4931,3.8521,3.5206,3.8934,3.9161,3.1881,4.1299,3.7404,2.6828,3.9286,4.3159,3.5907,3.5618,3.5064,3.9332,3.8031,3.2827,3.7296,3.6989,3.6483,4.0918,3.5469,3.4545,3.4383,3.6456,3.1481,3.384,3.45,2.6233,2.6914,3.0336,2.9164,2.4756
1298.8,0.092269,1,2.0144,1.9831,2.5341,2.8311,3.2122,3.2937,3.2665,3.1032,3.068,3.5999,3.0268,3.4966,3.7874,3.4447,3.8666,3.8886,3.1913,4.0415,3.6823,2.7109,4.003,4.398,3.6786,3.626,3.4897,3.7994,3.9209,3.3009,3.6992,3.6541,3.6507,4.1658,3.7317,3.5888,3.4577,3.6514,3.1512,3.4248,3.3986,2.6319,2.6358,2.9773,2.8534,2.5527
1257.5,0.093636,1,2.0814,1.9661,2.6464,2.8314,3.2356,3.3572,3.2198,3.0344,3.182,3.5988,3.0645,3.5888,3.7215,3.3806,3.8873,3.8441,3.0583,4.1397,3.6365,2.8183,3.8922,4.3743,3.6915,3.5678,3.6006,3.7397,3.7021,3.4018,3.4655,3.5641,3.5834,4.173,3.6775,3.6712,3.4586,3.5712,3.1985,3.3748,3.4038,2.6234,2.6012,3.2051,2.7658,2.5433
