0	16.80
1.54	7.30
3.08	2.16
4.62	2.41
6.16	2.75
7.7	2.91
9.24	3.05
10.78	3.16
12.33	3.26
13.87	3.33
15.41	3.48
16.95	3.44
18.49	3.42
20.03	3.46
21.57	3.52
23.11	3.63
24.65	3.64
26.19	3.65
27.73	3.62
29.27	3.63
30.81	3.61
32.35	3.70
33.9	3.69
35.44	3.54
36.98	3.69
38.52	3.80
40.06	3.57
41.6	3.65
43.14	3.60
44.68	3.55
46.22	3.58
47.76	3.58
49.3	3.46
50.84	3.47
52.38	3.47
53.92	3.39
55.47	3.38
57.01	3.34
58.55	3.13
60.09	3.13
61.63	3.03
63.17	2.91
64.71	2.61
66.25	2.53
67.79	2.03
69.33	1.99
70.87	15.83
72.41	26.47
73.95	37.93
75.49	37.77
77.04	38.50
78.58	38.21
80.12	38.55
81.66	38.70
83.2	37.89
